  date	amount
1/25/21	1
1/25/21	17.17
1/25/21	17
1/25/21	17.24
1/25/21	4
1/25/21	4
1/26/21	1
1/26/21	1
1/26/21	1.74
1/26/21	10
1/26/21	4.43
1/26/21	3.5
1/26/21	25.25
1/26/21	25
1/26/21	24.8
1/26/21	24.8
1/26/21	0.14
1/27/21	53.1
1/27/21	52.37
1/27/21	26.18
1/27/21	26
1/27/21	26
1/27/21	26
1/27/21	60.6
1/27/21	60
1/27/21	60
1/27/21	60
1/27/21	35
1/27/21	20
1/27/21	20
1/27/21	10
1/27/21	10
1/27/21	10
1/27/21	1
1/27/21	1
1/27/21	10
1/27/21	5
1/27/21	20
1/27/21	20
1/27/21	2
1/27/21	2
1/27/21	16.66
1/27/21	16.5
1/27/21	17.05
1/27/21	40.29
1/27/21	40
1/27/21	40
1/27/21	173.52
1/27/21	24.24
1/27/21	24
1/27/21	23.7
1/27/21	23.7
1/27/21	23.94
1/27/21	23.7
1/28/21	19
1/28/21	1
1/28/21	1
1/28/21	171.7
1/28/21	170
1/28/21	167.45
1/28/21	2
1/28/21	2
1/28/21	22.15
1/28/21	22
1/28/21	22
1/28/21	19
1/28/21	49.56
1/28/21	1
1/28/21	48
1/28/21	0.98
1/28/21	1
1/28/21	0.1
1/28/21	21.21
1/28/21	21
1/28/21	1
1/28/21	1
1/28/21	23.5
1/28/21	23.5
1/28/21	23.13
1/28/21	22.9
1/28/21	22.5
1/28/21	22.5
1/29/21	30
1/29/21	30
1/29/21	30
1/29/21	5
1/29/21	10
1/29/21	10
1/29/21	2
1/29/21	10
1/29/21	83.83
1/29/21	83
1/29/21	22.02
1/29/21	21.8
1/29/21	21.77
1/29/21	1.91
1/29/21	1.89
1/29/21	1.89
1/29/21	10
1/29/21	51.86
1/29/21	51.35
1/29/21	10
1/29/21	1
1/29/21	1
1/29/21	1.01
1/29/21	1
1/29/21	0
1/29/21	2.01
1/29/21	2
1/29/21	10
1/29/21	104.03
1/29/21	103
1/29/21	111.31
1/29/21	25.25
1/29/21	25
1/29/21	21
1/29/21	21
1/29/21	50
1/29/21	50
1/29/21	5
1/29/21	4.32
1/29/21	33.39
1/29/21	27.37
1/29/21	61.42
1/29/21	23.74
1/29/21	23.5
1/29/21	2
1/29/21	10
1/29/21	7
1/29/21	2
1/29/21	2
1/29/21	2
1/29/21	2
1/29/21	10
1/29/21	1
1/29/21	1
1/29/21	1
1/29/21	9.94
1/29/21	9.97
1/29/21	9
1/29/21	2
1/29/21	2
1/29/21	1
1/29/21	1
1/29/21	2
1/30/21	5
1/30/21	5
1/30/21	12
1/30/21	10
1/30/21	9
1/30/21	10
1/30/21	301.63
1/30/21	2.17
1/30/21	2.12
1/30/21	50
1/30/21	40
1/30/21	292.9
1/30/21	290
1/30/21	280
1/30/21	6
1/30/21	10
1/30/21	9
1/30/21	5
1/30/21	4.92
1/30/21	4
1/30/21	3
1/30/21	4
1/30/21	5.56
1/30/21	5.5
1/30/21	5.5
1/30/21	1
1/30/21	1
1/30/21	173.01
1/30/21	171.7
1/30/21	170
1/30/21	168.51
1/31/21	1
1/31/21	1
1/31/21	1
1/31/21	9.85
1/31/21	2
1/31/21	2
1/31/21	10
2/1/21	5
2/1/21	1
2/1/21	51
2/1/21	51
2/1/21	42.68
2/1/21	42.06
2/1/21	1
2/1/21	23.17
2/1/21	23
2/1/21	5
2/2/21	1
2/2/21	50.35
2/2/21	53.64
2/2/21	53.11
2/2/21	20
2/2/21	18
2/2/21	18
2/2/21	22.15
2/2/21	49
2/2/21	21.5
2/2/21	5
2/2/21	7
2/2/21	52.46
2/2/21	12.47
2/2/21	136.13
